"","Keratinocyte","TSK","Melanocyte"
"spot 821",0.9941,0.0059,0
"spot 822",0.8448,0.1552,0
"spot 823",1,0,0
"spot 824",1,0,0
"spot 825",1,0,0
"spot 826",0.8622,0.1378,0
"spot 827",0.9714,0.0286,0
"spot 828",1,0,0
"spot 829",1,0,0
"spot 830",0.912,0.088,0
"spot 831",0.8218,0.0811,0.0971
"spot 832",0.8939,0.1061,0
"spot 833",0.7532,0.2468,0
"spot 834",1,0,0
"spot 835",0.512,0,0.488
"spot 836",0.6164,0.3836,0
"spot 837",1,0,0
"spot 838",0.8905,0.0834,0.0261
"spot 839",1,0,0
"spot 840",0.6626,0.3374,0
"spot 841",0.5014,0.4986,0
"spot 842",0.9221,0.0779,0
"spot 843",0.7988,0.2012,0
"spot 844",1,0,0
"spot 845",1,0,0
"spot 846",1,0,0
"spot 847",0.9907,0,0.0093
"spot 848",0.7082,0.2918,0
"spot 849",1,0,0
"spot 850",1,0,0
"spot 851",0.596,0.404,0
"spot 852",1,0,0
"spot 853",0.5703,0.4297,0
"spot 854",0.8488,0.1512,0
"spot 855",0.6784,0.0802,0.2414
"spot 856",0.9501,0.0499,0
"spot 857",0.7991,0.1977,0.0032
"spot 858",1,0,0
"spot 859",1,0,0
"spot 860",0.9956,0.0044,0
"spot 861",0.9941,0.0059,0
"spot 862",0.4715,0.5285,0
"spot 863",0.8395,0.1605,0
"spot 864",1,0,0
"spot 865",0.3411,0.4428,0.2161
"spot 866",1,0,0
"spot 867",0.7191,0.0109,0.27
"spot 868",0.7961,0.2039,0
"spot 869",1,0,0
"spot 870",0.6432,0.3568,0
"spot 871",0.6205,0.3189,0.0606
"spot 872",0.5084,0.4916,0
"spot 873",0.5302,0.4698,0
"spot 874",1,0,0
"spot 875",0.8999,0.1001,0
"spot 876",0.2842,0.7158,0
"spot 877",0.9651,0,0.0349
"spot 878",0.7736,0.2264,0
"spot 879",1,0,0
"spot 880",0.6683,0.3317,0
"spot 881",0.7948,0,0.2052
"spot 882",0.2448,0.7552,0
"spot 883",0.7198,0.1136,0.1666
"spot 884",0.9352,0,0.0648
"spot 885",1,0,0
"spot 886",1,0,0
"spot 887",0.8968,0,0.1032
"spot 888",0.3999,0.6001,0
"spot 889",0.6995,0.1014,0.1992
"spot 890",0.5672,0.4328,0
"spot 891",0.9849,0,0.0151
"spot 892",0.6812,0,0.3188
"spot 893",1,0,0
"spot 894",0.9473,0.0527,0
"spot 895",0.831,0.169,0
"spot 896",0.4911,0.3672,0.1417
"spot 897",0.8591,0,0.1409
"spot 898",1,0,0
"spot 899",0.9861,0,0.0139
"spot 900",0.712,0,0.288
"spot 901",0.8794,0.1206,0
"spot 902",0.9376,0,0.0624
"spot 903",1,0,0
"spot 904",1,0,0
"spot 905",0.934,0.066,0
"spot 906",0.8682,0.1318,0
"spot 907",0.8911,0.1089,0
"spot 908",0.795,0.1124,0.0926
"spot 909",0.8096,0.1904,0
"spot 910",0.5361,0.4639,0
"spot 911",0.8128,0.1589,0.0283
"spot 912",0.6026,0.2941,0.1032
"spot 913",1,0,0
"spot 914",0.5335,0.4665,0
"spot 915",0.6134,0.3866,0
"spot 916",0.7798,0.2202,0
"spot 917",0.5122,0.1789,0.3088
"spot 918",0.8799,0.0238,0.0963
"spot 919",0.7877,0.2123,0
"spot 920",0.9467,0.0533,0
"spot 921",1,0,0
"spot 922",1,0,0
"spot 923",0.7805,0.2195,0
"spot 924",0.4947,0.5053,0
"spot 925",1,0,0
"spot 926",0.9214,0.0786,0
"spot 927",1,0,0
"spot 928",0.9518,0.0482,0
"spot 929",0.88,0,0.12
"spot 930",1,0,0
"spot 931",1,0,0
"spot 932",0.8415,0.1585,0
"spot 933",0.4894,0.2944,0.2163
"spot 934",0.5114,0.1993,0.2894
"spot 935",0.7142,0.2858,0
"spot 936",0.5524,0.3921,0.0555
"spot 937",0.5898,0.4102,0
"spot 938",0.8716,0.1284,0
"spot 939",0.6372,0.3628,0
"spot 940",0.7723,0.2277,0
"spot 941",0.7983,0.089,0.1127
"spot 942",0.8424,0.1454,0.0122
"spot 943",0.822,0.055,0.1229
"spot 944",0.799,0.201,0
"spot 945",0.713,0.122,0.1651
"spot 946",1,0,0
"spot 947",0.7477,0.2523,0
"spot 948",0.681,0.319,0
"spot 949",0.7226,0.2774,0
"spot 950",0.9407,0.0593,0
"spot 951",0.7358,0.1407,0.1235
"spot 952",1,0,0
"spot 953",0.8325,0.1675,0
"spot 954",0.6795,0.3205,0
"spot 955",0.4284,0.3347,0.2369
"spot 956",0.8528,0.0714,0.0758
"spot 957",0.9016,0.0984,0
"spot 958",0.6842,0.3158,0
"spot 959",0.654,0.346,0
"spot 960",1,0,0
"spot 961",0.9026,0,0.0974
"spot 962",0.6226,0.3774,0
"spot 963",0.7301,0.2699,0
"spot 964",1,0,0
"spot 965",0.9059,0.0941,0
"spot 966",0.8357,0.1643,0
"spot 967",0.6316,0.163,0.2054
"spot 968",1,0,0
"spot 969",0.7942,0.2058,0
"spot 970",0.8814,0.1186,0
"spot 971",0.8684,0.0336,0.098
"spot 972",0.798,0.1328,0.0692
"spot 973",0.6938,0.3062,0
"spot 974",0.5234,0.222,0.2546
"spot 975",1,0,0
"spot 976",0.6174,0.3826,0
"spot 977",0.8357,0.1643,0
"spot 978",0.9021,0.0979,0
"spot 979",0.5892,0.4108,0
"spot 980",1,0,0
"spot 981",0.8756,0,0.1244
"spot 982",1,0,0
"spot 983",0.8269,0.1731,0
"spot 984",1,0,0
"spot 985",1,0,0
"spot 986",0.6124,0.3876,0
"spot 987",0.5201,0.4799,0
"spot 988",0.5835,0.4165,0
"spot 989",0.3842,0.5569,0.0588
"spot 990",0.4449,0.3275,0.2275
"spot 991",0.7435,0.2565,0
"spot 992",0.6285,0.2955,0.076
"spot 993",1,0,0
"spot 994",1,0,0
"spot 995",0.6817,0.0882,0.2301
"spot 996",0.9403,0.0597,0
"spot 997",1,0,0
"spot 998",1,0,0
"spot 999",1,0,0
"spot 1000",0.9676,0.0324,0
"spot 1001",1,0,0
"spot 1002",0.6858,0.3142,0
"spot 1003",0.4493,0.5507,0
"spot 1004",0.5147,0.4853,0
"spot 1005",0.533,0.3921,0.075
"spot 1006",0.7714,0.163,0.0656
"spot 1007",1,0,0
"spot 1008",1,0,0
"spot 1009",0.7513,0.2487,0
"spot 1010",1,0,0
"spot 1011",0.8236,0.1764,0
"spot 1012",0.7372,0.2628,0
"spot 1013",0.8879,0.1121,0
"spot 1014",1,0,0
"spot 1015",1,0,0
"spot 1016",0.7749,0.2251,0
"spot 1017",0.2813,0.7187,0
"spot 1018",0.7266,0.2734,0
"spot 1019",0.5909,0.4091,0
"spot 1020",0.3356,0.6213,0.0431
"spot 1021",0.5845,0.2773,0.1382
"spot 1022",1,0,0
"spot 1023",0.7297,0.0504,0.2199
"spot 1024",1,0,0
"spot 1025",0.8248,0.1752,0
"spot 1026",0.9467,0.0533,0
"spot 1027",0.8919,0.1081,0
"spot 1028",0.7468,0.2532,0
"spot 1029",0.4674,0.5326,0
"spot 1030",1,0,0
"spot 1031",1,0,0
"spot 1032",1,0,0
"spot 1033",0.6774,0.3226,0
"spot 1034",0.6363,0.3637,0
"spot 1035",0.854,0.0778,0.0682
"spot 1036",1,0,0
"spot 1037",1,0,0
"spot 1038",0.8222,0.0627,0.1152
"spot 1039",0.9136,0.0455,0.0408
"spot 1040",0.9914,0,0.0086
"spot 1041",0.588,0.412,0
"spot 1042",0.9512,0,0.0488
"spot 1043",1,0,0
"spot 1044",0.8706,0.1294,0
"spot 1045",0.7376,0.2624,0
"spot 1046",0.6955,0.3045,0
"spot 1047",0.4889,0.5111,0
"spot 1048",0.8735,0.1265,0
"spot 1049",0.6232,0.3768,0
"spot 1050",0.813,0.1319,0.055
"spot 1051",0.9247,0.0753,0
"spot 1052",0.7517,0.2372,0.0111
"spot 1053",1,0,0
"spot 1054",0.9873,0,0.0127
"spot 1055",0.7208,0.2792,0
"spot 1056",0.9247,0.0281,0.0472
"spot 1057",0.9666,0,0.0334
"spot 1058",0.508,0.4834,0.0086
"spot 1059",0.8788,0.1212,0
"spot 1060",0.8544,0.0049,0.1407
"spot 1061",0.682,0.318,0
"spot 1062",1,0,0
"spot 1063",1,0,0
"spot 1064",1,0,0
"spot 1065",0.9767,0,0.0233
"spot 1066",1,0,0
"spot 1067",1,0,0
"spot 1068",0.2847,0.7153,0
"spot 1069",0.5018,0.4982,0
"spot 1070",0.8923,0.1077,0
"spot 1071",0.4879,0.5121,0
