"","Keratinocyte","TSK","Melanocyte"
"spot 176",1,0,0
"spot 177",0.9789,0.0211,0
"spot 178",0.8661,0.1339,0
"spot 179",0.7862,0.2138,0
"spot 180",1,0,0
"spot 181",0.3927,0.6073,0
"spot 182",0.5344,0.3491,0.1165
"spot 183",0.5558,0.4442,0
"spot 184",1,0,0
"spot 185",0.9185,0.0815,0
"spot 186",0.8183,0.1817,0
"spot 187",0.7847,0.2153,0
"spot 188",0.9692,0.0308,0
"spot 189",0.7303,0.2648,0.0049
"spot 190",0.8523,0.1477,0
"spot 191",0.8104,0.1896,0
"spot 192",0.228,0.5845,0.1874
"spot 193",1,0,0
"spot 194",0.8585,0.1282,0.0134
"spot 195",0.5453,0.4547,0
"spot 196",0.7179,0.2155,0.0666
"spot 197",1,0,0
"spot 198",0.4691,0.4535,0.0773
"spot 199",0.5284,0.316,0.1556
"spot 200",1,0,0
"spot 201",1,0,0
"spot 202",0.7005,0.2995,0
"spot 203",1,0,0
"spot 204",0.9383,0.0617,0
"spot 205",1,0,0
"spot 206",0.5815,0.2007,0.2178
"spot 207",0.7933,0.2067,0
"spot 208",0.9679,0,0.0321
"spot 209",0.4364,0.5636,0
"spot 210",0.6674,0.3326,0
"spot 211",0.6356,0.3644,0
"spot 212",0.9495,0.0505,0
"spot 213",0.8864,0.1136,0
"spot 214",0.9067,0.0933,0
"spot 215",0.7553,0.2447,0
"spot 216",0.6906,0.3094,0
"spot 217",0.7699,0.2301,0
"spot 218",0.8765,0.1235,0
"spot 219",0.4847,0.4483,0.067
"spot 220",0.8144,0.1856,0
"spot 221",0.9392,0.0608,0
"spot 222",0.7578,0.2422,0
"spot 223",1,0,0
"spot 224",0.9552,0.0448,0
"spot 225",0.4502,0.5176,0.0322
"spot 226",0.2443,0.6072,0.1486
"spot 227",0.5599,0.3019,0.1383
"spot 228",0.6355,0.2306,0.1339
"spot 229",1,0,0
"spot 230",1,0,0
"spot 231",0.8013,0,0.1987
"spot 232",0.6977,0.3023,0
"spot 233",0.9956,0.0044,0
"spot 234",0.7499,0.2501,0
"spot 235",0.7227,0.2395,0.0378
"spot 236",0.4762,0.5238,0
"spot 237",0.8349,0.1651,0
"spot 238",0.7233,0.2767,0
"spot 239",0.7327,0.2673,0
"spot 240",1,0,0
"spot 241",0.7491,0.2509,0
"spot 242",1,0,0
"spot 243",0.6965,0.3035,0
"spot 244",1,0,0
"spot 245",0.9512,0.0488,0
"spot 246",0.6673,0.3327,0
"spot 247",0.7751,0.2249,0
"spot 248",0.8806,0.1194,0
"spot 249",1,0,0
"spot 250",1,0,0
"spot 251",0.5767,0.4233,0
"spot 252",0.3474,0.5177,0.135
"spot 253",1,0,0
"spot 254",1,0,0
"spot 255",1,0,0
"spot 256",1,0,0
"spot 257",0.7826,0.2174,0
