"","Keratinocyte","TSK","Melanocyte"
"spot 1",0.2114,0.5809,0.2076
"spot 2",0.5804,0.4196,0
"spot 3",0.3563,0.6437,0
"spot 4",0.2897,0.7103,0
"spot 5",0.5047,0.4953,0
"spot 6",0.5552,0.4448,0
"spot 7",0.2661,0.7339,0
"spot 8",1,0,0
"spot 9",0.3358,0.6642,0
"spot 10",0.2411,0.6942,0.0646
"spot 11",0.1621,0.8379,0
"spot 12",0.1688,0.7309,0.1003
"spot 13",0.6766,0.2661,0.0574
"spot 14",0.3245,0.6298,0.0456
"spot 15",0.191,0.809,0
"spot 16",0.283,0.2712,0.4457
"spot 17",0.1903,0.471,0.3388
"spot 18",0.5935,0.4065,0
"spot 19",0.3956,0.5234,0.081
"spot 20",0.4255,0.5745,0
"spot 21",0.1588,0.5587,0.2824
"spot 22",0.523,0.4276,0.0494
"spot 23",0.2459,0.7541,0
"spot 24",0.5337,0.4663,0
"spot 25",0.4134,0.5866,0
"spot 26",0.8662,0.1338,0
"spot 28",0.2364,0.7636,0
"spot 29",0.3442,0.6187,0.0371
"spot 30",0.5246,0.4754,0
"spot 31",0.1325,0.7255,0.142
"spot 32",0.1121,0.8879,0
"spot 33",1,0,0
"spot 34",0.4981,0.5019,0
"spot 35",0.281,0.6837,0.0353
"spot 36",1,0,0
"spot 37",0.4073,0.5927,0
"spot 38",0,0.8743,0.1257
"spot 39",1,0,0
"spot 40",0.5989,0.383,0.018
"spot 41",0.286,0.5698,0.1441
"spot 42",0.4724,0.4961,0.0316
"spot 43",0.2268,0.7424,0.0309
"spot 44",0.455,0.545,0
"spot 45",0.7046,0.2954,0
"spot 46",0.7606,0.2394,0
"spot 47",0.7625,0.1738,0.0637
"spot 48",1,0,0
"spot 50",0.268,0.732,0
"spot 51",0.354,0.646,0
"spot 52",0.5332,0.4504,0.0164
"spot 53",0.4373,0.5067,0.056
"spot 54",0.6207,0.3793,0
"spot 55",0.9769,0.0231,0
"spot 56",0.3214,0.6786,0
"spot 57",0.7653,0.2347,0
"spot 58",0.3102,0.6898,0
"spot 59",0.236,0.6344,0.1296
"spot 60",0.9643,0.0357,0
"spot 61",0.7875,0.2125,0
"spot 62",0.6884,0.3116,0
"spot 63",0.9368,0.0632,0
"spot 64",0.3409,0.4392,0.2199
"spot 65",0.549,0.451,0
"spot 66",0.642,0.358,0
"spot 67",0.4899,0.5101,0
"spot 68",0.5554,0.4446,0
"spot 69",0.6423,0.3577,0
"spot 70",0.5994,0.4006,0
"spot 71",0.6559,0.3441,0
"spot 72",0.5647,0.4353,0
"spot 73",0.9152,0.0848,0
"spot 74",0.6025,0.3975,0
"spot 75",0.6191,0.3809,0
"spot 76",0.3053,0.6759,0.0188
"spot 77",0.5652,0.4348,0
"spot 78",0.1975,0.5356,0.267
"spot 79",0.717,0.283,0
"spot 80",0.4815,0.4391,0.0794
"spot 81",0.264,0.7118,0.0242
"spot 82",0.5995,0.4005,0
"spot 83",0.9461,0.0539,0
"spot 84",0.7513,0.2487,0
"spot 85",0.3542,0.4952,0.1506
"spot 86",0.6278,0.2062,0.1661
"spot 87",0.616,0.384,0
"spot 88",0.6294,0.3706,0
"spot 89",1,0,0
"spot 90",0.4419,0.1898,0.3683
"spot 91",1,0,0
"spot 92",0.7357,0.0949,0.1694
"spot 93",1,0,0
"spot 94",0.6521,0.3479,0
"spot 95",0.6497,0.3503,0
"spot 96",0.676,0.324,0
"spot 97",0.4047,0.5953,0
"spot 98",0.4843,0.5157,0
"spot 99",1,0,0
"spot 100",0.2382,0.6069,0.1549
"spot 101",0.365,0.5596,0.0754
"spot 102",0.2329,0.5654,0.2017
"spot 103",0.7296,0.2704,0
"spot 104",0.6247,0.3753,0
"spot 105",0.6457,0.3543,0
"spot 106",0.7727,0.2273,0
"spot 107",1,0,0
"spot 108",0.9342,0.0658,0
"spot 109",0.6127,0.3873,0
"spot 110",0.7777,0.2223,0
"spot 111",0.6345,0.3655,0
"spot 112",0.7364,0.2636,0
"spot 113",0.6005,0.3995,0
"spot 114",0.9091,0.0909,0
"spot 115",0.5039,0.4961,0
"spot 116",0.3811,0.6189,0
"spot 117",0.4563,0.5437,0
"spot 118",0.5134,0.4866,0
"spot 119",0.257,0.743,0
"spot 120",0.6745,0.3255,0
"spot 121",0.8616,0.1182,0.0202
"spot 122",0.1306,0.744,0.1253
"spot 123",0.5132,0.4868,0
"spot 124",0.7924,0.2076,0
"spot 125",0.3929,0.5705,0.0366
"spot 126",0.7487,0.2513,0
"spot 127",0.877,0.123,0
"spot 128",0.567,0.433,0
"spot 129",1,0,0
"spot 130",0.4565,0.5435,0
"spot 131",0.6645,0.3355,0
"spot 132",0.5279,0.4721,0
"spot 133",1,0,0
"spot 134",1,0,0
"spot 135",0.4707,0.5293,0
"spot 136",0.9196,0.0804,0
"spot 137",0.748,0.252,0
"spot 138",0.4222,0.5778,0
"spot 139",0.7071,0.2929,0
"spot 140",0.7661,0.2339,0
"spot 141",0.4508,0.5081,0.0411
"spot 142",0.6044,0.3956,0
"spot 143",0.5676,0.4324,0
"spot 144",0.3096,0.1815,0.5089
"spot 145",1,0,0
"spot 146",0.4712,0.5288,0
"spot 147",0.5251,0.4749,0
"spot 149",0.6394,0.2403,0.1203
"spot 150",0.1703,0.6363,0.1934
"spot 151",0.6256,0.3744,0
"spot 152",0.3924,0.583,0.0247
"spot 153",0.3908,0.595,0.0142
"spot 154",0.5741,0.4259,0
"spot 155",1,0,0
"spot 156",0.5423,0.3841,0.0737
"spot 157",0.7968,0.2032,0
"spot 158",0.6671,0.3329,0
"spot 159",1,0,0
"spot 160",0.7627,0.2373,0
