"","Keratinocyte","TSK","Melanocyte"
"spot 1",0.5597,0.4403,0
"spot 2",0.6502,0.3498,0
"spot 3",0.5909,0.4091,0
"spot 4",0.349,0.6213,0.0297
"spot 5",0.5589,0.4411,0
"spot 6",0.6762,0.3238,0
"spot 7",0.467,0.533,0
"spot 8",0.4818,0.4383,0.0799
"spot 9",0.4313,0.5687,0
"spot 10",0.8579,0.1421,0
"spot 11",0.6116,0.3884,0
"spot 12",0.2247,0.6137,0.1616
"spot 13",0.2205,0.6674,0.1121
"spot 14",0.8459,0.1541,0
"spot 15",0.3736,0.6003,0.0262
"spot 16",0.4528,0.5381,0.0092
"spot 17",0.8506,0.1494,0
"spot 18",0.5755,0.4245,0
"spot 19",0.339,0.661,0
"spot 20",0.5539,0.4461,0
"spot 21",0.6408,0.3592,0
"spot 22",1,0,0
"spot 23",0.2238,0.6191,0.1571
"spot 24",0.5138,0.4862,0
"spot 25",0.6622,0.3378,0
"spot 26",0.485,0.3695,0.1455
"spot 27",0.6061,0.3939,0
"spot 28",0.6319,0.3681,0
"spot 29",1,0,0
"spot 30",0.8588,0.1412,0
"spot 31",1,0,0
"spot 32",0.7408,0.2592,0
"spot 33",0.4039,0.5961,0
"spot 34",0.5086,0.4914,0
"spot 35",0.4786,0.5214,0
"spot 36",0.3905,0.6095,0
"spot 37",0.5274,0.4726,0
"spot 38",0.4095,0.5905,0
"spot 39",0.6263,0.3737,0
"spot 40",0.4025,0.5964,0.0011
"spot 41",0.2896,0.628,0.0825
"spot 42",0.8636,0.1364,0
"spot 43",0.5794,0.3788,0.0418
"spot 44",0.684,0.316,0
"spot 45",0.9016,0.0984,0
"spot 46",0.2412,0.6027,0.156
"spot 47",0.3992,0.5174,0.0834
"spot 48",0.6628,0.3265,0.0107
"spot 49",0.7153,0.2847,0
"spot 50",1,0,0
"spot 51",0.7779,0.2221,0
"spot 52",0.9193,0.0807,0
"spot 53",0.8044,0.1956,0
"spot 54",0.5948,0.4052,0
"spot 55",0.6808,0.3192,0
"spot 56",0.3841,0.6159,0
"spot 57",0.7553,0.2447,0
"spot 58",0.4714,0.5286,0
"spot 59",0.4304,0.5696,0
"spot 60",0.6781,0.3219,0
"spot 61",0.5461,0.4539,0
"spot 62",0.5951,0.4049,0
"spot 63",0.2657,0.6454,0.0889
"spot 64",0.811,0.189,0
"spot 65",0.5364,0.4636,0
"spot 66",0.4564,0.4743,0.0693
"spot 67",0.9238,0.0762,0
"spot 68",0.7483,0.2517,0
"spot 69",1,0,0
"spot 70",0.4137,0.5261,0.0601
"spot 71",0.6652,0.3348,0
"spot 72",0.6883,0.3117,0
"spot 73",0.3989,0.6011,0
"spot 74",0.9247,0.0753,0
"spot 75",0.8244,0.1756,0
"spot 76",0.847,0.153,0
"spot 77",0.5096,0.4904,0
"spot 78",0.6412,0.3588,0
"spot 79",0.4062,0.5938,0
"spot 80",0.6737,0.3263,0
"spot 81",0.6598,0.3402,0
"spot 82",0.4957,0.5043,0
"spot 83",0.6154,0.3846,0
"spot 84",0.6413,0.3587,0
"spot 85",0.3883,0.5084,0.1033
"spot 86",0.2617,0.6293,0.109
"spot 87",1,0,0
"spot 88",0.6991,0.3009,0
"spot 89",0.3707,0.6293,0
"spot 90",0.3372,0.576,0.0869
"spot 91",0.4325,0.5675,0
"spot 92",1,0,0
"spot 93",0.5826,0.4174,0
"spot 94",0.347,0.5551,0.0979
"spot 95",0.5876,0.4124,0
"spot 96",0.9381,0.0619,0
"spot 97",0.9064,0.0936,0
"spot 98",0.8558,0.1442,0
"spot 99",0.7964,0.2036,0
"spot 100",0.8672,0.1328,0
"spot 101",0.9481,0.0519,0
"spot 102",0.7537,0.2463,0
"spot 103",0.2624,0.6872,0.0504
"spot 104",0.5428,0.4572,0
"spot 105",0.6932,0.3068,0
"spot 106",0.3163,0.5904,0.0933
"spot 107",0.5312,0.4688,0
"spot 108",0.8493,0.1507,0
"spot 109",0.7965,0.2035,0
"spot 110",0.518,0.482,0
"spot 111",0.5252,0.4409,0.0339
"spot 112",0.659,0.341,0
"spot 113",0.7126,0.2874,0
"spot 114",0.5635,0.4365,0
"spot 115",0.2794,0.6608,0.0598
"spot 116",0.3887,0.5082,0.1031
"spot 117",1,0,0
"spot 118",1,0,0
"spot 119",0.5529,0.3994,0.0478
"spot 120",0.6401,0.3599,0
"spot 121",0.69,0.31,0
"spot 122",0.478,0.4908,0.0312
"spot 123",0.503,0.497,0
"spot 124",1,0,0
"spot 125",0.8668,0.1332,0
"spot 126",0.9893,0.0107,0
"spot 127",1,0,0
"spot 128",0.4933,0.5067,0
"spot 129",0.7098,0.2902,0
"spot 130",0.6518,0.3482,0
"spot 131",0.9488,0.0512,0
