"method","jaccard"
"nnSVG-Union",0.751239630158855
"nnSVG-Union",0.729121531238688
"nnSVG-Union",0.73705336656371
"nnSVG-Union",0.725368709768404
"nnSVG-Union",0.687172887075245
"nnSVG-Union",0.766953544319545
"nnSVG-Union",0.701526871617549
"nnSVG-Union",0.763514456535125
"nnSVG-Union",0.743128913320447
"nnSVG-Union",0.762636552140263
"nnSVG-Union",0.768085200978071
"nnSVG-Union",0.720511028597922
"nnSVG-Union",0.735345277091181
"nnSVG-Union",0.754184486248799
"nnSVG-Union",0.782001299657518
"nnSVG-Union",0.733780960639685
"nnSVG-Union",0.714559644515919
"nnSVG-Union",0.788913228951519
"nnSVG-Union",0.672956693746106
"nnSVG-Union",0.706977463260491
"nnSVG-Union",0.762134490560801
"nnSVG-Union",0.704378609155414
"nnSVG-Union",0.684425887386099
"nnSVG-Union",0.754878211502035
"nnSVG-Union",0.737789812867763
"nnSVG-Union",0.744944014954424
"nnSVG-Union",0.7162847699098
"nnSVG-Union",0.741591858571408
"nnSVG-Union",0.737284287084124
"nnSVG-Union",0.729973027973441
"nnSVG-Union",0.745628177490008
"nnSVG-Union",0.709919963516614
"nnSVG-Union",0.705896990488584
"nnSVG-Union",0.748523148020505
"nnSVG-Union",0.777746942495304
"nnSVG-Union",0.738083885261831
"nnSVG-Union",0.697270443515625
"nnSVG-Union",0.678549744601385
"nnSVG-Union",0.775730148915232
"nnSVG-Union",0.728055350476703
"nnSVG-Union",0.713842783701801
"nnSVG-Union",0.792297753111293
"nnSVG-Union",0.725932589739944
"nnSVG-Union",0.698857742344608
"nnSVG-Union",0.695400501857066
"nnSVG-Union",0.704264248798151
"nnSVG-Union",0.715113453119689
"nnSVG-Union",0.715
"nnSVG-Union",0.77
"nnSVG-Union",0.706
