"TPR","FPR","F1"
1,0.000699188466228942,0.996863520358724
1,0.00192354284131541,0.991418339575722
1,0.000674797784431788,0.996972602933805
1,0.000222222222222222,0.999000999000999
1,0,1
1,0,1
1,0,1
1,0.00133333333333333,0.99403578528827
1,0.00133333333333333,0.99403578528827
1,0.00133333333333333,0.99403578528827
1,0.000444444444444444,0.998003992015968
1,0.000444444444444444,0.998003992015968
1,0.000444444444444444,0.998003992015968
1,0.000666666666666667,0.997008973080758
1,0.002,0.991080277502478
1,0.000222222222222222,0.999000999000999
1,0.000444444444444444,0.998003992015968
1,0.00111111111111111,0.995024875621891
1,0.000222222222222222,0.999000999000999
1,0.00111111111111111,0.995024875621891
1,0.000444444444444444,0.998003992015968
1,0.00133333333333333,0.99403578528827
1,0.000444642063139173,0.998003106279121
1,0.000888888888888889,0.99601593625498
1,0.00133333333333333,0.99403578528827
1,0.000888888888888889,0.99601593625498
1,0.000888888888888889,0.99601593625498
1,0.000444444444444444,0.998003992015968
1,0.00111111111111111,0.995024875621891
1,0.000666666666666667,0.997008973080758
1,0.000444444444444444,0.998003992015968
1,0.000222222222222222,0.999000999000999
1,0.000444444444444444,0.998003992015968
1,0.000666666666666667,0.997008973080758
1,0.002,0.991080277502478
1,0.000666666666666667,0.997008973080758
1,0.00111135807957324,0.995023775295809
1,0.000888888888888889,0.99601593625498
1,0.000888888888888889,0.99601593625498
1,0.000222222222222222,0.999000999000999
1,0.00133333333333333,0.99403578528827
1,0.000888888888888889,0.99601593625498
1,0.000666666666666667,0.997008973080758
1,0.000666666666666667,0.997008973080758
1,0.000666666666666667,0.997008973080758
1,0.00355555555555556,0.984251968503937
1,0.00111111111111111,0.995024875621891
1,0.00355555555555556,0.984251968503937
1,0.00533333333333333,0.9765625
1,0.00222222222222222,0.99009900990099
