V1,V2,V3,V4,V5
4.4,3.7,3.5,3.2,2.9
4.8999999999999995,4.7,4.1000000000000005,4.1000000000000005,3.9
5.5,5.3,4.4,4.0,8.5
13.6,13.0,12.3,11.1,9.799999999999999
28.6,24.1,24.0,22.599999999999998,20.8
45.0,42.7,39.6,34.9,30.0
68.4,66.19999999999999,64.5,55.5,45.1
103.2,97.0,92.39999999999999,82.69999999999999,69.5
160.6,131.5,131.0,123.7,105.80000000000001
254.5,201.2,197.5,175.3,152.10000000000002
509.2,498.3,434.7,417.1,380.09999999999997
