"","x","y"
"spot 1",10,30
"spot 2",10,32
"spot 3",10,34
"spot 4",10,36
"spot 5",10,38
"spot 6",10,40
"spot 7",10,42
"spot 8",10,44
"spot 9",10,46
"spot 10",10,48
"spot 11",10,50
"spot 12",10,52
"spot 13",11,25
"spot 14",11,27
"spot 15",11,29
"spot 16",11,31
"spot 17",11,33
"spot 18",11,35
"spot 19",11,37
"spot 20",11,39
"spot 21",11,41
"spot 22",11,43
"spot 23",11,45
"spot 24",11,47
"spot 25",11,49
"spot 26",11,51
"spot 27",11,53
"spot 28",12,24
"spot 29",12,26
"spot 30",12,28
"spot 31",12,30
"spot 32",12,32
"spot 33",12,34
"spot 34",12,36
"spot 35",12,38
"spot 36",12,40
"spot 37",12,42
"spot 38",12,44
"spot 39",12,46
"spot 40",12,48
"spot 41",12,50
"spot 42",12,52
"spot 43",12,54
"spot 44",13,19
"spot 45",13,21
"spot 46",13,23
"spot 47",13,25
"spot 48",13,27
"spot 49",13,29
"spot 50",13,31
"spot 51",13,33
"spot 52",13,35
"spot 53",13,37
"spot 54",13,39
"spot 55",13,41
"spot 56",13,43
"spot 57",13,45
"spot 58",13,47
"spot 59",13,49
"spot 60",13,51
"spot 61",13,53
"spot 62",13,55
"spot 63",14,16
"spot 64",14,18
"spot 65",14,20
"spot 66",14,22
"spot 67",14,24
"spot 68",14,26
"spot 69",14,28
"spot 70",14,30
"spot 71",14,32
"spot 72",14,34
"spot 73",14,36
"spot 74",14,38
"spot 75",14,40
"spot 76",14,42
"spot 77",14,44
"spot 78",14,46
"spot 79",14,48
"spot 80",14,50
"spot 81",14,52
"spot 82",14,54
"spot 83",14,56
"spot 84",15,13
"spot 85",15,15
"spot 86",15,17
"spot 87",15,19
"spot 88",15,21
"spot 89",15,23
"spot 90",15,25
"spot 91",15,27
"spot 92",15,29
"spot 93",15,31
"spot 94",15,33
"spot 95",15,35
"spot 96",15,37
"spot 97",15,39
"spot 98",15,41
"spot 99",15,43
"spot 100",15,45
"spot 101",15,47
"spot 102",15,49
"spot 103",15,51
"spot 104",15,53
"spot 105",15,55
"spot 106",15,57
"spot 107",16,12
"spot 108",16,14
"spot 109",16,16
"spot 110",16,18
"spot 111",16,20
"spot 112",16,22
"spot 113",16,24
"spot 114",16,26
"spot 115",16,28
"spot 116",16,30
"spot 117",16,32
"spot 118",16,34
"spot 119",16,36
"spot 120",16,38
"spot 121",16,40
"spot 122",16,42
"spot 123",16,44
"spot 124",16,46
"spot 125",16,48
"spot 126",16,50
"spot 127",16,52
"spot 128",16,54
"spot 129",16,56
"spot 130",16,58
"spot 131",17,11
"spot 132",17,13
"spot 133",17,15
"spot 134",17,17
"spot 135",17,19
"spot 136",17,21
"spot 137",17,23
"spot 138",17,25
"spot 139",17,27
"spot 140",17,29
"spot 141",17,31
"spot 142",17,33
"spot 143",17,35
"spot 144",17,37
"spot 145",17,39
"spot 146",17,41
"spot 147",17,43
"spot 148",17,45
"spot 149",17,47
"spot 150",17,49
"spot 151",17,51
"spot 152",17,53
"spot 153",17,55
"spot 154",17,57
"spot 155",17,59
"spot 156",18,10
"spot 157",18,12
"spot 158",18,14
"spot 159",18,16
"spot 160",18,18
"spot 161",18,20
"spot 162",18,22
"spot 163",18,24
"spot 164",18,26
"spot 165",18,28
"spot 166",18,30
"spot 167",18,32
"spot 168",18,34
"spot 169",18,36
"spot 170",18,38
"spot 171",18,40
"spot 172",18,42
"spot 173",18,44
"spot 174",18,46
"spot 175",18,48
"spot 176",18,50
"spot 177",18,52
"spot 178",18,54
"spot 179",18,56
"spot 180",18,58
"spot 181",18,8
"spot 182",19,11
"spot 183",19,13
"spot 184",19,15
"spot 185",19,17
"spot 186",19,19
"spot 187",19,21
"spot 188",19,23
"spot 189",19,25
"spot 190",19,27
"spot 191",19,29
"spot 192",19,31
"spot 193",19,33
"spot 194",19,35
"spot 195",19,37
"spot 196",19,39
"spot 197",19,41
"spot 198",19,43
"spot 199",19,45
"spot 200",19,47
"spot 201",19,49
"spot 202",19,5
"spot 203",19,51
"spot 204",19,53
"spot 205",19,55
"spot 206",19,57
"spot 207",19,7
"spot 208",19,9
"spot 209",20,10
"spot 210",20,12
"spot 211",20,14
"spot 212",20,16
"spot 213",20,18
"spot 214",20,20
"spot 215",20,22
"spot 216",20,24
"spot 217",20,26
"spot 218",20,28
"spot 219",20,30
"spot 220",20,32
"spot 221",20,34
"spot 222",20,36
"spot 223",20,38
"spot 224",20,4
"spot 225",20,40
"spot 226",20,42
"spot 227",20,44
"spot 228",20,46
"spot 229",20,48
"spot 230",20,50
"spot 231",20,52
"spot 232",20,54
"spot 233",20,56
"spot 234",20,58
"spot 235",20,6
"spot 236",20,8
"spot 237",21,11
"spot 238",21,13
"spot 239",21,15
"spot 240",21,17
"spot 241",21,19
"spot 242",21,21
"spot 243",21,23
"spot 244",21,25
"spot 245",21,27
"spot 246",21,29
"spot 247",21,31
"spot 248",21,33
"spot 249",21,35
"spot 250",21,37
"spot 251",21,39
"spot 252",21,41
"spot 253",21,43
"spot 254",21,45
"spot 255",21,47
"spot 256",21,49
"spot 257",21,5
"spot 258",21,51
"spot 259",21,53
"spot 260",21,55
"spot 261",21,57
"spot 262",21,7
"spot 263",21,9
"spot 264",22,10
"spot 265",22,12
"spot 266",22,14
"spot 267",22,16
"spot 268",22,18
"spot 269",22,20
"spot 270",22,22
"spot 271",22,24
"spot 272",22,26
"spot 273",22,28
"spot 274",22,30
"spot 275",22,32
"spot 276",22,34
"spot 277",22,36
"spot 278",22,38
"spot 279",22,4
"spot 280",22,40
"spot 281",22,42
"spot 282",22,44
"spot 283",22,46
"spot 284",22,48
"spot 285",22,50
"spot 286",22,52
"spot 287",22,54
"spot 288",22,56
"spot 289",22,58
"spot 290",22,6
"spot 291",22,8
"spot 292",23,11
"spot 293",23,13
"spot 294",23,15
"spot 295",23,17
"spot 296",23,19
"spot 297",23,21
"spot 298",23,23
