"","x","y"
"spot 1",10,24
"spot 2",10,26
"spot 3",10,28
"spot 4",10,30
"spot 5",10,32
"spot 6",10,34
"spot 7",10,36
"spot 8",10,38
"spot 9",10,40
"spot 10",10,42
"spot 11",10,44
"spot 12",10,46
"spot 13",10,48
"spot 14",10,50
"spot 15",10,52
"spot 16",10,54
"spot 17",10,56
"spot 18",11,21
"spot 19",11,23
"spot 20",11,25
"spot 21",11,27
"spot 22",11,29
"spot 23",11,31
"spot 24",11,33
"spot 25",11,35
"spot 26",11,37
"spot 28",11,41
"spot 29",11,43
"spot 30",11,45
"spot 31",11,47
"spot 32",11,49
"spot 33",11,51
"spot 34",11,53
"spot 35",11,55
"spot 36",12,14
"spot 37",12,16
"spot 38",12,18
"spot 39",12,20
"spot 40",12,22
"spot 41",12,24
"spot 42",12,26
"spot 43",12,28
"spot 44",12,30
"spot 45",12,32
"spot 46",12,34
"spot 47",12,36
"spot 48",12,38
"spot 50",12,42
"spot 51",12,44
"spot 52",12,46
"spot 53",12,48
"spot 54",12,50
"spot 55",12,52
"spot 56",12,54
"spot 57",13,13
"spot 58",13,15
"spot 59",13,17
"spot 60",13,19
"spot 61",13,21
"spot 62",13,23
"spot 63",13,25
"spot 64",13,27
"spot 65",13,29
"spot 66",13,31
"spot 67",13,33
"spot 68",13,35
"spot 69",13,37
"spot 70",13,39
"spot 71",13,41
"spot 72",13,43
"spot 73",13,45
"spot 74",13,47
"spot 75",13,49
"spot 76",13,51
"spot 77",13,53
"spot 78",13,55
"spot 79",14,12
"spot 80",14,14
"spot 81",14,16
"spot 82",14,18
"spot 83",14,20
"spot 84",14,22
"spot 85",14,24
"spot 86",14,26
"spot 87",14,28
"spot 88",14,30
"spot 89",14,32
"spot 90",14,34
"spot 91",14,36
"spot 92",14,38
"spot 93",14,40
"spot 94",14,42
"spot 95",14,44
"spot 96",14,46
"spot 97",14,48
"spot 98",14,50
"spot 99",14,52
"spot 100",14,54
"spot 101",14,56
"spot 102",14,58
"spot 103",15,11
"spot 104",15,13
"spot 105",15,15
"spot 106",15,17
"spot 107",15,19
"spot 108",15,21
"spot 109",15,23
"spot 110",15,25
