"TPR","FPR","F1"
0.0449777068997029,2.25360984725397e-06,0.0860819013173984
0.0715155081285439,2.10979950250454e-07,0.133484547548761
0.0806762487571511,4.08633731375882e-05,0.149256177048494
0.0541751990617769,0.000120055365014379,0.102676913657955
0.0482362209544405,5.61687976626382e-05,0.0919887501536931
0.100493598027606,1.43751962020466e-05,0.182612212045578
0.0384847337271178,0,0.0741170909446039
0.0982639089866183,2.63839359738809e-05,0.178905392692636
0.0817480049918105,0,0.151140569919386
0.056344309372981,0,0.106677924750549
0.0769924559310238,0,0.142976778541065
0.0870168623899186,4.4131196162041e-05,0.160043661267091
0.0476030759150422,7.97337129511791e-05,0.0908177752353285
0.087250122482247,3.40291042063804e-05,0.160451676312433
0.0563133226502427,0,0.106622384557179
0.0764537256106356,0,0.142047398400272
0.0692063281045508,9.64535730840422e-05,0.129348627424118
0.0495500141543646,1.56829198699991e-05,0.0944087480624604
0.0653497334192654,3.39284076869198e-05,0.122647062991394
0.0818467955771118,2.67730732625407e-06,0.151306031490516
0.0740118773348331,1.25421316486364e-05,0.137808717070525
0.0537775582442933,0,0.102066243152668
0.0373315377779578,8.9686074307103e-05,0.0719201342371166
0.0707085091404265,0,0.132077981143891
0.0648788886025043,1.44314224520394e-06,0.121850659228289
0.0617397175802495,2.60652994038312e-05,0.116273467773344
0.072,0,0.134328358208955
0.076,0,0.141263940520446
0.068,0,0.127340823970037
0.048,0,0.0916030534351145
0.06,0,0.113207547169811
0.092,0,0.168498168498168
0.058,0,0.109640831758034
0.092,0,0.168498168498168
0.048,0,0.0916030534351145
0.092,0,0.168498168498168
0.1,0,0.181818181818182
0.058,0,0.109640831758034
0.062,0.000222222222222222,0.116541353383459
0.04,0,0.0769230769230769
0.064,0,0.120300751879699
0.05,0,0.0952380952380952
0.074,0,0.13780260707635
0.09,0,0.165137614678899
0.084,0,0.154981549815498
0.11,0,0.198198198198198
0.054,0,0.10246679316888
0.084,0,0.154981549815498
0.084,0,0.154981549815498
0.078,0,0.144712430426716
