"method","set","value","inf","inte_situ","pattern"
"IBaySVG","F1",0.959526481799258,"inf1","scenario 1","focal"
"IBaySVG","F1",0.971607153570767,"inf1","scenario 1","linear"
"IBaySVG","F1",0.961745538050825,"inf1","scenario 1","period"
"IBaySVG","F1",0.976368728140639,"inf1","scenario 2","focal"
"IBaySVG","F1",0.976635508008097,"inf1","scenario 2","linear"
"IBaySVG","F1",0.958441179490896,"inf1","scenario 2","period"
"IBaySVG","F1",0.969390794020349,"inf1","scenario 3","focal"
"IBaySVG","F1",0.964641332811127,"inf1","scenario 3","linear"
"IBaySVG","F1",0.969848530870697,"inf1","scenario 3","period"
"IBaySVG","F1",0.855699149300657,"inf1","scenario 4","focal"
"IBaySVG","F1",0.971070235496154,"inf1","scenario 4","linear"
"IBaySVG","F1",1,"inf1","scenario 4","period"
"IBaySVG","F1",0.98135322352308,"inf3","scenario 1","focal"
"IBaySVG","F1",0.97615853369273,"inf3","scenario 1","linear"
"IBaySVG","F1",0.992393716419713,"inf3","scenario 1","period"
"IBaySVG","F1",0.98381433243186,"inf3","scenario 2","focal"
"IBaySVG","F1",0.989951337986173,"inf3","scenario 2","linear"
"IBaySVG","F1",0.970396320155199,"inf3","scenario 2","period"
"IBaySVG","F1",0.978801819737886,"inf3","scenario 3","focal"
"IBaySVG","F1",0.984410093399051,"inf3","scenario 3","linear"
"IBaySVG","F1",0.965178722173515,"inf3","scenario 3","period"
"IBaySVG","F1",0.812192161423052,"inf3","scenario 4","focal"
"IBaySVG","F1",0.984973016322573,"inf3","scenario 4","linear"
"IBaySVG","F1",0.773765326681716,"inf3","scenario 4","period"
"IBaySVG","F1",0.976383492970212,"inf5","scenario 1","focal"
"IBaySVG","F1",0.983968784163969,"inf5","scenario 1","linear"
"IBaySVG","F1",0.937896343737706,"inf5","scenario 1","period"
"IBaySVG","F1",0.958054359393949,"inf5","scenario 2","focal"
"IBaySVG","F1",0.979755832063251,"inf5","scenario 2","linear"
"IBaySVG","F1",0.936326043021972,"inf5","scenario 2","period"
"IBaySVG","F1",0.952613592889848,"inf5","scenario 3","focal"
"IBaySVG","F1",0.981978977276424,"inf5","scenario 3","linear"
"IBaySVG","F1",0.889572712652776,"inf5","scenario 3","period"
"IBaySVG","F1",0.330047506966224,"inf5","scenario 4","focal"
"IBaySVG","F1",1,"inf5","scenario 4","linear"
"IBaySVG","F1",0.528212232513658,"inf5","scenario 4","period"
"IBaySVG","FPR",0.00850818169645466,"inf1","scenario 1","focal"
"IBaySVG","FPR",0.00860240927011178,"inf1","scenario 1","linear"
