"method","set","value","inf","inte_situ","pattern"
"SPARKX-PASTE","F1",0.181818181818182,"inf1","scenario 1","linear"
"SPARKX-AVE","F1",0.313381385145722,"inf1","scenario 1","linear"
"SPARKX-Union","F1",0.182116190129302,"inf1","scenario 1","linear"
"SPARKX-Inter","F1",0.999000999000999,"inf1","scenario 1","linear"
"SPARKX-Cauchy","F1",0.744047619047619,"inf1","scenario 1","linear"
"SPARKX-HMP","F1",0.182781941144215,"inf1","scenario 1","linear"
"SPARKX-PASTE","precision",0.1,"inf1","scenario 1","linear"
"SPARKX-AVE","precision",0.185804533630621,"inf1","scenario 1","linear"
"SPARKX-Union","precision",0.100180324584252,"inf1","scenario 1","linear"
"SPARKX-Inter","precision",0.998003992015968,"inf1","scenario 1","linear"
"SPARKX-Cauchy","precision",0.592417061611374,"inf1","scenario 1","linear"
"SPARKX-HMP","precision",0.100583383625025,"inf1","scenario 1","linear"
"SPARKX-PASTE","recall",1,"inf1","scenario 1","linear"
"SPARKX-AVE","recall",1,"inf1","scenario 1","linear"
"SPARKX-Union","recall",1,"inf1","scenario 1","linear"
"SPARKX-Inter","recall",1,"inf1","scenario 1","linear"
"SPARKX-Cauchy","recall",1,"inf1","scenario 1","linear"
"SPARKX-HMP","recall",1,"inf1","scenario 1","linear"
"SPARKX-PASTE","FPR",1,"inf1","scenario 1","linear"
"SPARKX-AVE","FPR",0.486888888888889,"inf1","scenario 1","linear"
"SPARKX-Union","FPR",0.998,"inf1","scenario 1","linear"
"SPARKX-Inter","FPR",0.000222222222222222,"inf1","scenario 1","linear"
"SPARKX-Cauchy","FPR",0.0764444444444444,"inf1","scenario 1","linear"
"SPARKX-HMP","FPR",0.993555555555556,"inf1","scenario 1","linear"
"SPARKX-PASTE","F1",0.181818181818182,"inf1","scenario 2","linear"
"SPARKX-AVE","F1",0.513149454778704,"inf1","scenario 2","linear"
"SPARKX-Union","F1",0.220701831825204,"inf1","scenario 2","linear"
