"method","set","value","inf","inte_situ","pattern"
"HEARTSVG-AVE","F1",0.00799544452989951,"inf1","scenario 1","focal"
"HEARTSVG-AVE","F1",0.0055255991657902,"inf1","scenario 1","focal"
"HEARTSVG-AVE","F1",0.185954739776882,"inf1","scenario 1","linear"
"HEARTSVG-AVE","F1",0.187804932601437,"inf1","scenario 1","linear"
"HEARTSVG-AVE","F1",0.183720197509286,"inf1","scenario 1","linear"
"HEARTSVG-AVE","F1",0.350443130808122,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.637500212140918,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.635567708212814,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.378146394330522,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.636473978126527,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.614891624124172,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.829632577691628,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.49103435699869,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.614112525653171,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.657589503375483,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.560588035588965,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.616409304075778,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.706455032905002,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.390031885145285,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.535548828032724,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.659705060869118,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.403878597228901,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.514529072546081,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.263339359312102,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.605687282074919,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.57526319634221,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.676924971175739,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.749915879148969,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.49344588547232,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.53522935268419,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0.626427177583106,"inf1","scenario 1","period"
"HEARTSVG-AVE","F1",0,"inf1","scenario 2","focal"
"HEARTSVG-AVE","F1",0.00169574473606673,"inf1","scenario 2","focal"
"HEARTSVG-AVE","F1",0.322873226050155,"inf1","scenario 2","linear"
"HEARTSVG-AVE","F1",0.217187607080107,"inf1","scenario 2","linear"
"HEARTSVG-AVE","F1",0.298218661457433,"inf1","scenario 2","linear"
"HEARTSVG-AVE","F1",0.569153475292099,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.779288579371254,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.700897660591714,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.477401267741065,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.494521772046794,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.793581102307065,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.723508000361187,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.526933300963293,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.697508147269903,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.486821693268017,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.374412920185715,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.519151091701446,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.546360953297252,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.59878837482046,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.443723033235209,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.640724133948913,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.579780476618222,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.552667865669905,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.498551655223025,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.641334000525038,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.862865163439746,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.438022233195146,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.71447165368745,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.477369540559152,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.570469016807593,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.64415364907,"inf1","scenario 2","period"
"HEARTSVG-AVE","F1",0.0282007895420699,"inf1","scenario 3","focal"
"HEARTSVG-AVE","F1",0.0254507952290197,"inf1","scenario 3","focal"
"HEARTSVG-AVE","F1",0.28740686160612,"inf1","scenario 3","linear"
"HEARTSVG-AVE","F1",0.290185556361351,"inf1","scenario 3","linear"
"HEARTSVG-AVE","F1",0.332363894055322,"inf1","scenario 3","linear"
"HEARTSVG-AVE","F1",1,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.862733758708472,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.520088478271239,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",1,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.646516224545565,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.766198313969171,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.579408853439939,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",1,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",1,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.897581608934182,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.701490722295504,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.762024362231499,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.886656235102374,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.715696150892758,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.623836677418949,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.823044926797321,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.72051249196251,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",1,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.945717581909862,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.823001809912841,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.993054060632457,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.705298279934579,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.840033307729976,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.779696420002273,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.899219733967244,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.760833379043736,"inf1","scenario 3","period"
"HEARTSVG-AVE","F1",0.00667783022718761,"inf1","scenario 4","focal"
"HEARTSVG-AVE","F1",0.000633520532011976,"inf1","scenario 4","focal"
"HEARTSVG-AVE","F1",0.331813908057396,"inf1","scenario 4","linear"
"HEARTSVG-AVE","F1",0.28645815932739,"inf1","scenario 4","linear"
"HEARTSVG-AVE","F1",0.292480166873912,"inf1","scenario 4","linear"
"HEARTSVG-AVE","F1",0.770299865181404,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.716498787570151,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.852976461754567,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.910517065303704,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.800529513000104,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",1,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.794116412645499,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",1,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.67322710710847,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.52204676681152,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.760679326573336,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.59021504206692,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.80471187914563,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.732611626877436,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.704513765476242,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.734200900445982,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",1,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.583671993844203,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",1,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.70483917398939,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.751286863677887,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.66476548489725,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.659081063677789,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.566863457772806,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.836285941601352,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.788933141495145,"inf1","scenario 4","period"
"HEARTSVG-AVE","F1",0.00126158896266103,"inf3","scenario 1","focal"
"HEARTSVG-AVE","F1",0.000387014499152929,"inf3","scenario 1","focal"
"HEARTSVG-AVE","F1",0.178218855934134,"inf3","scenario 1","linear"
"HEARTSVG-AVE","F1",0.19651173130497,"inf3","scenario 1","linear"
"HEARTSVG-AVE","F1",0.203023437127184,"inf3","scenario 1","linear"
"HEARTSVG-AVE","F1",0.839434896181595,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.925992666667429,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.906526760255187,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.910171198579762,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.936769387957334,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",1,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.891661463134241,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.875109718643639,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.942941164991348,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",1,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.899196042394571,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.934583264829456,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",1,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.822588543425147,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.782920255477122,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.885561381032987,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.745888907893766,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.992519876830336,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.962171446663242,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",1,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.938568804521289,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.899964672407543,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.927780838464091,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.958367753142959,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.805675254901922,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.868340705729945,"inf3","scenario 1","period"
"HEARTSVG-AVE","F1",0.00108628670669099,"inf3","scenario 2","focal"
"HEARTSVG-AVE","F1",0.000574122735738156,"inf3","scenario 2","focal"
"HEARTSVG-AVE","F1",0.323598503259824,"inf3","scenario 2","linear"
"HEARTSVG-AVE","F1",0.261478484825517,"inf3","scenario 2","linear"
"HEARTSVG-AVE","F1",0.273274693735684,"inf3","scenario 2","linear"
"HEARTSVG-AVE","F1",0.898615049417678,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.656651359990421,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.935603034144346,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.889002326315232,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.820547895110713,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.854967323795849,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.863958012135739,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.855328815058976,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.912206683705136,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.959978195189081,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.781208641047865,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",1,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.930177132621278,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.818567181327338,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.832281617149502,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.842064643324951,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.783953560303206,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.75014706771578,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.982613760732566,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.845207204399586,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.901862578517201,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.780933851588704,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.999490949552936,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.861761706652761,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.854577463335332,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0.893645233406462,"inf3","scenario 2","period"
"HEARTSVG-AVE","F1",0,"inf3","scenario 3","focal"
"HEARTSVG-AVE","F1",0.00129606628503927,"inf3","scenario 3","focal"
"HEARTSVG-AVE","F1",0.362847139373502,"inf3","scenario 3","linear"
"HEARTSVG-AVE","F1",0.342178638109866,"inf3","scenario 3","linear"
"HEARTSVG-AVE","F1",0.402070054509443,"inf3","scenario 3","linear"
"HEARTSVG-AVE","F1",0.953676820522614,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.860558521845597,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.764206330831315,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.917569734026912,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.996303967650405,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.91751809526202,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.885082461308152,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.968912983657121,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.843201965775991,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.959730192847958,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.864470970496266,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.990862478398931,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",1,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.899104120632825,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.951584021110343,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.929527472733434,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.935429986847489,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.896547665092513,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.966806526805752,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",1,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.935764970041159,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.880910776682632,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.969321665683292,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.925252996655574,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.911151827268057,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.961923705268123,"inf3","scenario 3","period"
"HEARTSVG-AVE","F1",0.00180876107138957,"inf3","scenario 4","focal"
"HEARTSVG-AVE","F1",0.0017488129545948,"inf3","scenario 4","focal"
"HEARTSVG-AVE","F1",0.258744773737987,"inf3","scenario 4","linear"
"HEARTSVG-AVE","F1",0.506988834177665,"inf3","scenario 4","linear"
"HEARTSVG-AVE","F1",0.324397516799471,"inf3","scenario 4","linear"
"HEARTSVG-AVE","F1",0.631888014437439,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.648424728059499,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.657681735137635,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.669984592095259,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.675285744767275,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.617529692078563,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.629184516364023,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.66371856339637,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.693511403592891,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.626934922110193,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.690629639719504,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.668283311163502,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.643319133696582,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.680214945753599,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.661354389958892,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.615241079525479,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.65390655769467,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.646970514650235,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.65626243817134,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.666979872267592,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.605920758183752,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.674803664746404,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.768194032081269,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.643289592046162,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.694607858691519,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.68550663220988,"inf3","scenario 4","period"
"HEARTSVG-AVE","F1",0.000572345577634246,"inf5","scenario 1","focal"
"HEARTSVG-AVE","F1",0.000613947182518803,"inf5","scenario 1","focal"
"HEARTSVG-AVE","F1",0.325021168853433,"inf5","scenario 1","linear"
"HEARTSVG-AVE","F1",0.381011119607101,"inf5","scenario 1","linear"
"HEARTSVG-AVE","F1",0.351271947058371,"inf5","scenario 1","linear"
"HEARTSVG-AVE","F1",0.882483720488522,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.763169861691071,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.890797194272467,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.880704040858842,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.870016117215526,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.897933163223295,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.824765938490267,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.848869314059052,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.824237522169864,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.838694516070787,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.862279325160337,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.829160531116461,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.7803476173916,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.859387440294315,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.868074655153844,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.861182320690308,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.831719184415642,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.877010968058056,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.801039785560587,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.773582088127614,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.837459294074527,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.850853563098983,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.828503400953543,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.82302939332672,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.999663923082727,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.837356444958733,"inf5","scenario 1","period"
"HEARTSVG-AVE","F1",0.000123656321462922,"inf5","scenario 2","focal"
"HEARTSVG-AVE","F1",0.000533346203240092,"inf5","scenario 2","focal"
