"method","set","value","inf","inte_situ","pattern"
"SPARK-AVE","F1",0.727818223995996,"inf1","scenario 1","focal"
"SPARK-AVE","F1",0.764013942067377,"inf1","scenario 1","focal"
"SPARK-AVE","F1",0.230543700204215,"inf1","scenario 1","linear"
"SPARK-AVE","F1",0.238503617380364,"inf1","scenario 1","linear"
"SPARK-AVE","F1",0.243956399896526,"inf1","scenario 1","linear"
"SPARK-AVE","F1",0.978082822475554,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.977851841982655,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.976806327111912,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.976922756524078,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.981901656952319,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.980613470947049,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.979827640318083,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.979277846551288,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.982051553617121,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.976174845897485,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.980857701115101,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.987864856513461,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.971340670413865,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.980214382383391,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.967871779869457,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.982781835957607,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.981775208451302,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.976682990536294,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.971132225949765,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.979180033390025,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.972982302528209,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.981036620480753,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.982138627634601,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.977615018651738,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.977756910627032,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.978685689876008,"inf1","scenario 1","period"
"SPARK-AVE","F1",0.530498630504514,"inf1","scenario 2","focal"
"SPARK-AVE","F1",0.516899534172025,"inf1","scenario 2","focal"
"SPARK-AVE","F1",0.36560180009857,"inf1","scenario 2","linear"
"SPARK-AVE","F1",0.310673802430571,"inf1","scenario 2","linear"
"SPARK-AVE","F1",0.317450008268156,"inf1","scenario 2","linear"
"SPARK-AVE","F1",0.98385125953341,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.976455067579743,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.977720342992589,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.983559873167981,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.983424064168088,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.983615509020061,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.98337275680298,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.986426119608654,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.976295416795928,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.98249064577749,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.981759277460382,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.977244560559539,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.980557484076806,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.981846357772429,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.978107352993188,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.983944723960872,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.978312478175023,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.983020429601385,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.981283359365154,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.988143429323258,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.975524101512465,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.974258732546751,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.981122062276723,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.979638057575302,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.987158328111304,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.97085899495917,"inf1","scenario 2","period"
"SPARK-AVE","F1",0.367877482239995,"inf1","scenario 3","focal"
"SPARK-AVE","F1",0.403935217505187,"inf1","scenario 3","focal"
"SPARK-AVE","F1",0.378716018468419,"inf1","scenario 3","linear"
"SPARK-AVE","F1",0.389152870373511,"inf1","scenario 3","linear"
"SPARK-AVE","F1",0.358923028999408,"inf1","scenario 3","linear"
"SPARK-AVE","F1",0.99067223273361,"inf1","scenario 3","period"
"SPARK-AVE","F1",0.991108711908441,"inf1","scenario 3","period"
"SPARK-AVE","F1",0.99281577964544,"inf1","scenario 3","period"
"SPARK-AVE","F1",0.990462208651772,"inf1","scenario 3","period"
"SPARK-AVE","F1",0.990862438895665,"inf1","scenario 3","period"
"SPARK-AVE","F1",0.990222246543776,"inf1","scenario 3","period"
"SPARK-AVE","F1",0.990254648172161,"inf1","scenario 3","period"
