"TPR","FPR","F1"
0,0.0581633044996451,0
0.000576764650055685,0.032724245408611,0.000890690894388654
0.001,0.016,0.00174672489082969
0.001,0.0321666666666667,0.00154978690430066
0,0.0181111111111111,0
0,0.0157777777777778,0
0,0.0405555555555556,0
0,0.00544444444444444,0
0,0.0286666666666667,0
0,0.042,0
0,0.0526111111111111,0
0,0.0442777777777778,0
0.001,0.0307777777777778,0.00156494522691706
0,0.0151111111111111,0
0,0.0344444444444444,0
0,0.0163333333333333,0
5e-04,0.0576111111111111,0.00065832784726794
0,0.0138888888888889,0
0,0.0212777777777778,0
5e-04,0.0283888888888889,0.000796178343949045
5e-04,0.0671666666666667,0.000623052959501558
0,0.0404444444444444,0
0.001,0.0491111111111111,0.00138600138600139
0,0.0237777777777778,0
0.0015,0.0256666666666667,0.0024340770791075
0,0.0479444444444444,0
5e-04,0.0307777777777778,0.000782778864970646
5e-04,0.0346666666666667,0.000761904761904762
0.0015,0.0737777777777778,0.00180126088261783
5e-04,0.0549444444444444,0.000668896321070234
5e-04,0.0265,0.000807102502017756
0,0.046,0
5e-04,0.0271666666666667,0.000803212851405622
5e-04,0.0562777777777778,0.0006635700066357
5e-04,0.0301666666666667,0.000786163522012578
0.001,0.0105555555555556,0.00182481751824817
0,0.0142222222222222,0
5e-04,0.0298888888888889,0.000787711697518708
5e-04,0.0694444444444444,0.000615195324515534
0,0.0221666666666667,0
0,0.0405,0
0,0.0551666666666667,0
0,0.0202777777777778,0
0,0.0497777777777778,0
0,0.0476111111111111,0
0,0.00655555555555556,0
5e-04,0.0355555555555556,0.000757288905717531
0,0.0307222222222222,0
0,0.0541666666666667,0
5e-04,0.0389444444444444,0.00074019245003701
