"TPR","FPR","F1"
1,0.0040177158276972,0.98224135021284
1,0.00555555555555556,0.975609756097561
1,0.00333333333333333,0.985221674876847
1,0.00422222222222222,0.98135426889107
1,0.00644444444444444,0.971817298347911
1,0.00444444444444444,0.980392156862745
1,0.004,0.982318271119843
1,0.00355555555555556,0.984251968503937
1,0.00355555555555556,0.984251968503937
1,0.00266666666666667,0.988142292490119
1,0.004,0.982318271119843
1,0.00288888888888889,0.987166831194472
1,0.00333333333333333,0.985221674876847
1,0.00311111111111111,0.986193293885602
1,0.00577777777777778,0.974658869395711
1,0.004,0.982318271119843
1,0.00466666666666667,0.979431929480901
1,0.002,0.991080277502478
1,0.00444444444444444,0.980392156862745
1,0.00533333333333333,0.9765625
1,0.00288888888888889,0.987166831194472
1,0.00422785936804628,0.981329839502129
1,0.004,0.982318271119843
1,0.00422222222222222,0.98135426889107
1,0.00288888888888889,0.987166831194472
1,0.00355555555555556,0.984251968503937
1,0.00355555555555556,0.984251968503937
1,0.00311111111111111,0.986193293885602
1,0.006,0.973709834469328
1,0.0044474093840338,0.980379332897318
1,0.00311111111111111,0.986193293885602
1,0.00355555555555556,0.984251968503937
1,0.00333333333333333,0.985221674876847
1,0.00466666666666667,0.979431929480901
1,0.00444444444444444,0.980392156862745
1,0.00488997555012225,0.978468899521531
1,0.00466666666666667,0.979431929480901
1,0.00222222222222222,0.99009900990099
1,0.00466666666666667,0.979431929480901
1,0.00266903914590747,0.988131868131868
1,0.00311457174638487,0.986178148310663
1,0.00355634585463436,0.984248523299059
1,0.004,0.982318271119843
1,0.00488888888888889,0.978473581213307
1,0.006,0.973709834469328
1,0.004,0.982318271119843
1,0.00533333333333333,0.9765625
1,0.00447127207690588,0.980276134122288
1,0.00333926981300089,0.985195745147494
1,0.00511679644048943,0.977492660650212
